City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,dingle,PH,2021-01-16 19:03:35,10.9995,122.6711,75.15,91,100,11.23
121,jasidih,IN,2021-01-16 19:03:36,24.5167,86.65,54.12,62,56,2.66
122,koslan,RU,2021-01-16 19:03:36,63.4564,48.8989,-8.1,90,6,5.93
123,slonim,BY,2021-01-16 19:03:36,53.0867,25.3219,-1.41,92,84,7.02
124,sobolevo,RU,2021-01-16 19:03:36,54.4299,31.8996,1.13,93,100,8.3
125,tarakan,ID,2021-01-16 19:03:36,3.3,117.6333,78.35,75,100,9.22
126,ajdabiya,LY,2021-01-16 19:03:36,30.7554,20.2263,58.87,65,1,18.32
127,andrychow,PL,2021-01-16 19:03:36,49.855,19.3383,24.01,3,100,1.01
128,atar,MR,2021-01-16 19:03:36,20.5169,-13.0499,68.49,16,100,13.42
129,san onofre,CO,2021-01-16 19:03:36,9.7359,-75.5263,86.54,62,9,8.99
130,ramona,US,2021-01-16 19:03:36,33.0417,-116.8681,82.4,9,1,0.78
131,nador,MA,2021-01-16 19:03:36,35.174,-2.9287,55.4,76,0,3.44
132,carnarvon,AU,2021-01-16 19:03:36,-24.8667,113.6333,80.6,78,43,6.91
133,walla walla,US,2021-01-16 19:03:36,46.0646,-118.343,44.01,100,90,3.44
134,camopi,GF,2021-01-16 19:01:42,3.1655,-52.3158,77.85,94,100,4.68
135,souillac,MU,2021-01-16 19:03:37,-20.5167,57.5167,80.6,83,40,6.91
136,salinopolis,BR,2021-01-16 19:03:37,-0.6136,-47.3561,84.09,66,100,10.87
137,kerema,PG,2021-01-16 19:03:37,-7.9631,145.7785,78.44,83,100,5.5
138,alamosa,US,2021-01-16 19:01:41,37.4695,-105.87,42.8,33,20,19.57
139,turukhansk,RU,2021-01-16 19:03:37,65.8167,87.9833,-22.31,82,100,13.67
140,flinders,AU,2021-01-16 19:03:37,-34.5833,150.8552,57.99,72,0,1.01
141,port alfred,ZA,2021-01-16 19:03:37,-33.5906,26.891,69.01,83,0,10.0
142,amapa,BR,2021-01-16 19:03:37,1.0,-52.0,83.44,72,16,4.76
143,kaitangata,NZ,2021-01-16 19:03:20,-46.2817,169.8464,64.0,86,100,4.0
144,ambon,ID,2021-01-16 19:03:37,-3.6954,128.1814,77.0,15,100,8.01
145,ngunguru,NZ,2021-01-16 19:03:37,-35.6167,174.5,61.0,93,0,7.07
146,golden,US,2021-01-16 19:03:38,39.7555,-105.2211,46.99,34,0,1.01
147,hit,IQ,2021-01-16 19:03:38,33.6416,42.8251,56.66,49,98,5.01
148,saint-augustin,CA,2021-01-16 19:03:38,51.226,-58.6502,25.75,89,100,1.03
149,nouadhibou,MR,2021-01-16 19:03:38,20.931,-17.0347,75.2,23,100,16.11
150,hargeysa,SO,2021-01-16 19:03:38,9.56,44.065,60.21,74,0,8.52
151,walvis bay,NA,2021-01-16 19:03:38,-22.9575,14.5053,71.6,64,0,14.97
152,rocha,UY,2021-01-16 19:00:26,-34.4833,-54.3333,78.93,65,0,13.06
153,civitavecchia,IT,2021-01-16 19:03:38,42.0933,11.7967,39.2,52,0,6.91
154,mahibadhoo,MV,2021-01-16 19:03:38,3.7833,72.9667,81.61,70,100,7.45
155,mareeba,AU,2021-01-16 19:03:38,-17.0,145.4333,78.8,83,40,6.91
156,hamilton,US,2021-01-16 18:59:49,39.1834,-84.5333,37.0,64,90,12.66
157,yerbogachen,RU,2021-01-16 19:03:38,61.2767,108.0108,-48.21,75,52,2.82
158,richards bay,ZA,2021-01-16 19:03:38,-28.783,32.0377,73.27,90,97,6.87
159,alvorada,BR,2021-01-16 19:03:39,-12.48,-49.1247,80.49,82,100,4.14
160,poltavka,RU,2021-01-16 19:03:39,54.3663,71.7632,14.25,94,100,11.21
161,korla,CN,2021-01-16 19:03:39,41.7597,86.1469,18.25,81,0,7.76
162,calvinia,ZA,2021-01-16 19:03:39,-31.4707,19.776,63.5,59,0,7.49
