City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
423,dong hoi,VN,17.4833,106.6,61.05,84,96,22.68,overcast clouds
424,san cristobal,VE,7.7669,-72.225,84.2,61,40,8.05,scattered clouds
425,namatanai,PG,-3.6667,152.4333,79.81,80,55,9.98,light rain
426,masallatah,LY,32.6167,14.0,51.51,69,42,18.97,scattered clouds
427,gorontalo,ID,0.5412,123.0595,75.97,86,100,1.95,overcast clouds
428,tazovskiy,RU,67.4667,78.7,-13.05,89,100,18.19,light snow
429,salym,RU,60.0625,71.4789,-2.79,92,100,4.56,overcast clouds
430,timbiqui,CO,2.7717,-77.6654,81.32,80,48,6.62,light rain
431,sambava,MG,-14.2667,50.1667,79.61,85,1,5.64,moderate rain
432,acajutla,SV,13.5928,-89.8275,80.6,50,0,5.75,clear sky
433,bonavista,CA,48.6499,-53.1147,34.0,100,100,6.91,overcast clouds
434,atar,MR,20.5169,-13.0499,75.11,15,100,14.74,overcast clouds
435,abeche,TD,13.8292,20.8324,74.08,16,12,8.77,few clouds
436,nuuk,GL,64.1835,-51.7216,23.0,74,75,17.27,snow
437,arbroath,GB,56.5632,-2.5874,42.8,87,75,12.66,broken clouds
438,prachuap khiri khan,TH,12.2167,99.75,69.26,81,32,2.33,scattered clouds
439,saint george,US,37.1041,-113.5841,39.2,45,1,1.19,clear sky
440,algeciras,ES,36.1333,-5.4505,59.0,72,90,1.14,overcast clouds
441,villarrica,PY,-25.75,-56.4333,73.38,95,100,5.17,light rain
442,sanchazi,CN,42.0817,126.6003,4.39,91,100,7.2,overcast clouds
443,calvinia,ZA,-31.4707,19.776,76.23,37,0,13.2,clear sky
444,wanxian,CN,30.8039,108.3897,41.94,74,0,3.58,clear sky
445,avera,US,33.194,-82.5271,50.0,40,1,13.8,clear sky
446,kopavogur,IS,64.1123,-21.913,33.8,86,75,13.8,light snow
447,tingo maria,PE,-9.2895,-76.0088,87.49,49,90,2.55,moderate rain
448,berlevag,NO,70.8578,29.0864,37.4,93,75,21.85,broken clouds
449,portales,US,34.1862,-103.3344,44.01,45,1,11.5,clear sky
450,zermatt,CH,46.0213,7.7491,35.6,100,90,37.98,fog
451,sao bras de alportel,PT,37.1531,-7.8875,59.0,44,0,4.61,clear sky
452,arlit,NE,18.7369,7.3853,72.93,19,100,15.48,overcast clouds
453,pryazha,RU,61.6926,33.6216,14.0,85,100,4.47,light snow
454,altamira,BR,-3.2033,-52.2064,91.4,55,75,6.91,broken clouds
455,karatau,KZ,43.1667,70.4667,31.24,91,71,1.23,broken clouds
456,panguna,PG,-6.3164,155.4848,69.19,99,60,3.02,light rain
457,kamyshla,RU,54.1169,52.1426,-5.21,91,90,3.02,overcast clouds
458,chapais,CA,49.7834,-74.8492,24.8,93,90,8.05,light snow
459,batagay,RU,67.6333,134.6333,-49.16,75,50,1.5,scattered clouds
460,urengoy,RU,65.9667,78.3667,-7.69,90,100,16.06,overcast clouds
461,evensk,RU,61.95,159.2333,-4.81,79,73,17.47,broken clouds
462,north bend,US,43.4065,-124.2243,48.99,93,1,7.56,clear sky
463,bacolod,PH,10.6667,122.95,77.61,80,100,10.29,overcast clouds
464,panaba,MX,21.2833,-88.2667,72.34,58,83,6.26,broken clouds
465,shache,CN,38.4167,77.2406,20.59,80,42,1.61,scattered clouds
466,winnemucca,US,40.973,-117.7357,33.8,75,1,2.13,clear sky
467,kuytun,RU,54.3419,101.5036,1.02,93,100,10.49,overcast clouds
468,kupang,ID,-10.1667,123.5833,78.67,82,100,1.57,light rain
469,flinders,AU,-34.5833,150.8552,62.6,77,75,4.61,broken clouds
470,tavda,RU,58.0425,65.2726,1.09,93,100,8.97,overcast clouds
