City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,takoradi,GH,80.8,scattered clouds,4.8845,-1.7554,Raybow International Hotel
580,road town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
584,poum,NC,81.81,light rain,-20.2333,164.0167,Gîte kajeon
586,sao desiderio,BR,82.74,overcast clouds,-12.3633,-44.9733,Meu cantinho
591,namibe,AO,75.54,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
592,meulaboh,ID,77.16,moderate rain,4.1363,96.1285,Kost Pria
597,santa rosa,PH,78.8,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
603,mindelo,CV,75.2,few clouds,16.8901,-24.9804,Hotel Gaudi
605,yola,NG,83.97,scattered clouds,9.2,12.4833,Muna Hotel
607,nguru,NG,76.6,few clouds,12.8791,10.4526,Government Lodge
610,inhambane,MZ,78.51,overcast clouds,-23.865,35.3833,Oceano
611,vila velha,BR,88.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
612,acari,PE,80.37,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
613,pandan,PH,78.82,overcast clouds,14.0453,124.1694,Bonifacio Lodge
619,aquidauana,BR,83.05,overcast clouds,-20.4711,-55.7872,HOTEL ARARAS
623,comodoro rivadavia,AR,77.0,clear sky,-45.8667,-67.5,Austral Hotel
629,pemba,MZ,82.4,broken clouds,-12.974,40.5178,Guesthouse Samotina
642,tres picos,MX,89.28,scattered clouds,15.8667,-93.5333,HOTEL TRES PICOS
648,dhidhdhoo,MV,81.86,light rain,6.8833,73.1,Dhidhoo beach
650,carauari,BR,88.61,light rain,-4.8828,-66.8958,Hotel Fellip
652,touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
654,saint-joseph,RE,82.4,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
655,buchanan,LR,87.8,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
656,bima,ID,76.84,light rain,-8.4667,118.7167,Lambitu Hotel
660,biak,ID,76.03,light rain,-0.9131,122.8766,Penginapan Kim
661,quatre cocos,MU,81.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
662,cururupu,BR,88.29,scattered clouds,-1.8283,-44.8683,Pousada Través'cia
664,portobelo,PA,90.0,scattered clouds,9.55,-79.65,Scuba Portobelo
665,tumpat,MY,78.8,few clouds,6.1978,102.171,Baan Tanyong B&B
